date,year,quarter,quarter_label,month,month_name,month_short,year_month,day,day_of_week,day_name,is_weekend,week_of_year
2008-03-06,2008,1,Q1,3,March,Mar,2008-03,6,4,Thursday,False,10
2008-03-07,2008,1,Q1,3,March,Mar,2008-03,7,5,Friday,False,10
2008-03-08,2008,1,Q1,3,March,Mar,2008-03,8,6,Saturday,True,10
2008-03-09,2008,1,Q1,3,March,Mar,2008-03,9,7,Sunday,True,10
2008-03-10,2008,1,Q1,3,March,Mar,2008-03,10,1,Monday,False,11
2008-03-11,2008,1,Q1,3,March,Mar,2008-03,11,2,Tuesday,False,11
2008-03-12,2008,1,Q1,3,March,Mar,2008-03,12,3,Wednesday,False,11
2008-03-13,2008,1,Q1,3,March,Mar,2008-03,13,4,Thursday,False,11
2008-03-14,2008,1,Q1,3,March,Mar,2008-03,14,5,Friday,False,11
2008-03-15,2008,1,Q1,3,March,Mar,2008-03,15,6,Saturday,True,11
2008-03-16,2008,1,Q1,3,March,Mar,2008-03,16,7,Sunday,True,11
2008-03-17,2008,1,Q1,3,March,Mar,2008-03,17,1,Monday,False,12
2008-03-18,2008,1,Q1,3,March,Mar,2008-03,18,2,Tuesday,False,12
2008-03-19,2008,1,Q1,3,March,Mar,2008-03,19,3,Wednesday,False,12
2008-03-20,2008,1,Q1,3,March,Mar,2008-03,20,4,Thursday,False,12
2008-03-21,2008,1,Q1,3,March,Mar,2008-03,21,5,Friday,False,12
2008-03-22,2008,1,Q1,3,March,Mar,2008-03,22,6,Saturday,True,12
2008-03-23,2008,1,Q1,3,March,Mar,2008-03,23,7,Sunday,True,12
2008-03-24,2008,1,Q1,3,March,Mar,2008-03,24,1,Monday,False,13
2008-03-25,2008,1,Q1,3,March,Mar,2008-03,25,2,Tuesday,False,13
2008-03-26,2008,1,Q1,3,March,Mar,2008-03,26,3,Wednesday,False,13
2008-03-27,2008,1,Q1,3,March,Mar,2008-03,27,4,Thursday,False,13
2008-03-28,2008,1,Q1,3,March,Mar,2008-03,28,5,Friday,False,13
2008-03-29,2008,1,Q1,3,March,Mar,2008-03,29,6,Saturday,True,13
2008-03-30,2008,1,Q1,3,March,Mar,2008-03,30,7,Sunday,True,13
2008-03-31,2008,1,Q1,3,March,Mar,2008-03,31,1,Monday,False,14
2008-04-01,2008,2,Q2,4,April,Apr,2008-04,1,2,Tuesday,False,14
2008-04-02,2008,2,Q2,4,April,Apr,2008-04,2,3,Wednesday,False,14
2008-04-03,2008,2,Q2,4,April,Apr,2008-04,3,4,Thursday,False,14
2008-04-04,2008,2,Q2,4,April,Apr,2008-04,4,5,Friday,False,14
2008-04-05,2008,2,Q2,4,April,Apr,2008-04,5,6,Saturday,True,14
2008-04-06,2008,2,Q2,4,April,Apr,2008-04,6,7,Sunday,True,14
2008-04-07,2008,2,Q2,4,April,Apr,2008-04,7,1,Monday,False,15
2008-04-08,2008,2,Q2,4,April,Apr,2008-04,8,2,Tuesday,False,15
